"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"philentropy","philentropy","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.0",NA,"R (>= 3.1.2)","Rcpp, dplyr, KernSmooth","Rcpp","testthat, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"phylobase","phylobase","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8.6",NA,NA,"ade4, ape (>= 3.0), Rcpp (>= 0.11.0), rncl (>= 0.6.0), grid,
methods, stats, RNeXML","Rcpp","MASS, testthat (>= 0.8.1), knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"phyloseq","phyloseq","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.28.0",NA,"R (>= 3.3.0)","ade4 (>= 1.7.4), ape (>= 5.0), Biobase (>= 2.36.2),
BiocGenerics (>= 0.22.0), biomformat (>= 1.0.0), Biostrings (>=
2.40.0), cluster (>= 2.0.4), data.table (>= 1.10.4), foreach
(>= 1.4.3), ggplot2 (>= 2.1.0), igraph (>= 1.0.1), methods (>=
3.3.0), multtest (>= 2.28.0), plyr (>= 1.8.3), reshape2 (>=
1.4.1), scales (>= 0.4.0), vegan (>= 2.5)",NA,"BiocStyle (>= 2.4), DESeq2 (>= 1.16.1), genefilter (>= 1.58),
knitr (>= 1.16), magrittr (>= 1.5), metagenomeSeq (>= 1.14),
rmarkdown (>= 1.6), testthat (>= 1.0.2)","doParallel (>= 1.0.10)","AGPL-3",NA,NA,NA,NA,"no","3.6.0"
"phytools","phytools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6-99",NA,"R (>= 3.2.0), ape (>= 4.0), maps","animation, clusterGeneration, coda, combinat, expm, graphics,
grDevices, gtools, MASS, methods, mnormt, nlme, numDeriv,
phangorn (>= 2.3.1), plotrix, scatterplot3d, stats, utils",NA,"geiger, RColorBrewer, rgl",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"picante","picante","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.8",NA,"ape, vegan, nlme, methods",NA,NA,"brglm, circular, corpcor, quantreg",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"pillar","pillar","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.2",NA,NA,"cli, crayon (>= 1.3.4), fansi, rlang (>= 0.3.0), utf8 (>=
1.1.0), vctrs",NA,"knitr, lubridate, testthat, withr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"pinfsc50","pinfsc50","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.0",NA,"R (>= 3.2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"pipeR","pipeR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6.1.3",NA,"R (>= 2.15)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"pkgbuild","pkgbuild","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.4",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"pkgconfig","pkgconfig","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0.2",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"pkgload","pkgload","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.2",NA,NA,"desc, methods, pkgbuild, rlang, rprojroot, rstudioapi, utils,
withr",NA,"bitops, covr, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"plogr","plogr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"plotly","plotly","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","4.9.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr, jsonlite (>= 1.6), magrittr, digest,
viridisLite, base64enc, htmltools (>= 0.3.6), htmlwidgets (>=
1.3), tidyr, hexbin, RColorBrewer, dplyr, tibble, lazyeval (>=
0.2.0), rlang, crosstalk, purrr, data.table, promises",NA,"MASS, maps, ggthemes, GGally, testthat, knitr, devtools,
shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
vdiffr, Cairo, broom, webshot, listviewer, dendextend, sf,
maptools, rgeos, png, IRdisplay, processx, plotlyGeoAssets,
forcats",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"plotrix","plotrix","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.7-6",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"plyr","plyr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.8.4",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, testthat, tcltk, foreach, doParallel, itertools,
iterators, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"png","png","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"polspline","polspline","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.15",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"polyclip","polyclip","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","3.6.0"
"polynom","polynom","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4-0",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"polysat","polysat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7-4",NA,NA,"methods, stats, utils, grDevices, graphics, Rcpp","Rcpp","ade4, adegenet, ape",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"PopGenReport","PopGenReport","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.0.4",NA,"R (>= 3.0.0), knitr, adegenet (>= 2.0.0)","lattice, RgoogleMaps, gap, calibrate, xtable, plyr, dismo,
reshape, ggplot2, R.utils, ade4, pegas, genetics, rgdal,
gdistance, vegan, sp, mmod, GGally, data.table, graphics,
grDevices, methods, stats, utils, raster",NA,"",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"pophelper","pophelper","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.2.9",NA,"R(>= 3.5.0), ggplot2","grid, gridExtra, gtable, tidyr",NA,"Cairo, knitr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"poppr","poppr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.8.3",NA,"R (>= 2.15.1), adegenet (>= 2.0.0)","stats, graphics, grDevices, utils, vegan, ggplot2, phangorn,
ape (>= 3.1-1), igraph (>= 1.0.0), methods, ade4, pegas,
polysat, dplyr (>= 0.4), rlang, boot, shiny, magrittr",NA,"testthat, knitr, rmarkdown, poweRlaw, cowplot, RClone",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"prabclus","prabclus","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.3-1",NA,"R (>= 2.10), MASS, mclust",NA,NA,"spdep, spatialreg, bootstrap, maptools, foreign, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"praise","praise","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"prettyunits","prettyunits","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.2",NA,NA,"magrittr, assertthat, methods",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"processx","processx","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.4.1",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), codetools, covr, crayon, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"progress","progress","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"promises","promises","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"proto","proto","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"proxy","proxy","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4-23",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"ps","ps","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.0",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"pspline","pspline","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-18",NA,"R (>= 2.0.0), stats, graphics",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"yes","3.6.0"
"psych","psych","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.8.12",NA,"R (>= 2.10)","mnormt,parallel,stats,graphics,grDevices,methods,foreign,lattice,nlme",NA,"GPArotation, lavaan, sem, lme4,Rcsdp, graph, Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"purrr","purrr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.2",NA,"R (>= 3.1)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"qgraph","qgraph","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.6.3",NA,"R (>= 3.0.0)","Rcpp (>= 1.0.0), methods, grDevices, psych, lavaan, plyr,
Hmisc, igraph, jpeg, png, colorspace, Matrix, corpcor,
reshape2, ggplot2, glasso, huge, fdrtool, d3Network, ggm,
gtools, BDgraph, parallel, pbapply, abind","Rcpp","sendplot",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"qpdf","qpdf","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1",NA,NA,"Rcpp, askpass, curl","Rcpp","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.6.0"
"quadprog","quadprog","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5-7",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"quantmod","quantmod","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4-15",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl",NA,"DBI,RMySQL,RSQLite,timeSeries,XML,downloader,jsonlite(>= 1.1)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"quantreg","quantreg","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","5.41",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"qvalue","qvalue","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.16.0",NA,"R(>= 2.10)","splines, ggplot2, grid, reshape2",NA,"knitr",NA,"LGPL",NA,NA,NA,NA,"no","3.6.0"
"R.methodsS3","R.methodsS3","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7.1",NA,"R (>= 2.13.0)","utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.0"
"R.oo","R.oo","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.22.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.7.1)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.0"
"R.utils","R.utils","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.9.0",NA,"R (>= 2.14.0), R.oo (>= 1.22.0)","methods, utils, tools, R.methodsS3 (>= 1.7.1)",NA,"digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.0"
"r2glmm","r2glmm","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.2",NA,NA,"mgcv, lmerTest, Matrix, pbkrtest, ggplot2, afex, stats, MASS,
gridExtra, grid, data.table, dplyr",NA,"lme4, nlme, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"R6","R6","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.4.0",NA,"R (>= 3.0)",NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"radiator","radiator","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.1",NA,"R (>= 3.5.0)","data.table, dplyr, fst (>= 0.8.4), ggtern, HardyWeinberg,
magrittr, pbmcapply, tidyverse, SeqVarTools, UpSetR",NA,"adegenet, amap, BiocManager, devtools, gdsfmt, ggplot2,
knitr, methods, quantreg, parallel, purrr, readr, rlang,
rmarkdown, SeqArray, SNPRelate, stats, strataG, stringdist,
stringi, tibble, tidyr, utils",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"rangemodelR","rangemodelR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.4",NA,"R (>= 3.2.0)",NA,NA,"ggplot2,maptools,rgdal,rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"raster","raster","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.9-5",NA,"sp (>= 1.2-0), R (>= 3.0.0)","Rcpp, methods","Rcpp","rgdal (>= 0.9-1), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"rcdd","rcdd","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2-2",NA,"R (>= 3.0.2)","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"rcmdcheck","rcmdcheck","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.3",NA,NA,"callr (>= 3.1.1.9000), cli (>= 1.1.0), crayon, desc (>=
1.2.0), digest, pkgbuild, prettyunits, R6, rprojroot,
sessioninfo (>= 1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"RColorBrewer","RColorBrewer","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","3.6.0"
"Rcpp","Rcpp","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.2",NA,"R (>= 3.0.0)","methods, utils",NA,"RUnit, inline, rbenchmark, knitr, rmarkdown, pinp, pkgKitten
(>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"RcppArmadillo","RcppArmadillo","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9.500.2.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","RUnit, Matrix, pkgKitten, reticulate, rmarkdown, knitr, pinp,
slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"RcppCNPy","RcppCNPy","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.10",NA,"R (>= 3.1.0)","methods, Rcpp","Rcpp","knitr, rmarkdown, pinp, reticulate",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"RcppEigen","RcppEigen","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.3.5.0",NA,"R (>= 2.15.1)","Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, RUnit, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"RcppParallel","RcppParallel","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","4.4.3",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"RcppProgress","RcppProgress","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.1",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.0"
"RcppTOML","RcppTOML","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.6",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"RCurl","RCurl","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.95-4.12",NA,"R (>= 3.0.0), methods, bitops",NA,NA,"Rcompression, XML",NA,"BSD",NA,NA,NA,NA,"yes","3.6.0"
"readr","readr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.1",NA,"R (>= 3.1)","Rcpp (>= 0.12.0.5), tibble, hms (>= 0.4.1), R6, clipr, crayon,
methods","Rcpp, BH","curl, testthat, knitr, rmarkdown, stringi, covr, spelling",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"readxl","readxl","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"rematch","rematch","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"remotes","remotes","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"repr","repr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.1",NA,"R (>= 3.0.1)","utils, grDevices, htmltools, jsonlite, pillar (>= 1.4.0),
base64enc",NA,"methods, highr, Cairo, stringr, testthat, diffobj (>= 0.2.3),
leaflet","data.table, dplyr, htmlwidgets, vegalite, plotly, geojsonio","GPL-3",NA,NA,NA,NA,"no","3.6.0"
"reprex","reprex","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.0",NA,"R (>= 3.1)","callr (>= 2.0.0), clipr (>= 0.4.0), fs, rlang, rmarkdown,
utils, whisker, withr",NA,"covr, devtools, fortunes, knitr, miniUI, rprojroot,
rstudioapi, shiny, styler (>= 1.0.2), testthat (>= 2.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"reshape","reshape","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8.8",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"reshape2","reshape2","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.3",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"ResistanceGA","ResistanceGA","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","4.0-14",NA,"R (>= 3.0), raster","ggplot2, ggExtra, akima, plyr, dplyr, gdistance, magrittr, GA
(>= 3.1.1), lme4 (>= 1.0), Matrix, MuMIn, spatstat",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"rex","rex","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.2",NA,NA,"magrittr, lazyeval",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2, Hmisc, stringr,
rvest, roxygen2, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"rgdal","rgdal","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4-4",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"rgeos","rgeos","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4-3",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"rgexf","rgexf","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.15.3",NA,"XML, Rook, igraph",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"rgl","rgl","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.100.24",NA,"R (>= 3.2.0)","graphics, grDevices, stats, utils, htmlwidgets, htmltools,
knitr, jsonlite (>= 0.9.20), shiny, magrittr, crosstalk,
manipulateWidget (>= 0.9.0)",NA,"MASS, rmarkdown, deldir, orientlib, lattice, misc3d,
rstudioapi, magick, plotrix (>= 3.7-3), tripack, interp,
alphashape3d",NA,"GPL",NA,NA,NA,NA,"yes","3.6.0"
"RgoogleMaps","RgoogleMaps","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.3",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png",NA,"PBSmapping, maptools, sp, loa, RColorBrewer, leaflet",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"rhdf5","rhdf5","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.28.0",NA,"R (>= 3.5.0), methods","Rhdf5lib (>= 1.3.2)","Rhdf5lib","bit64, BiocStyle, knitr, rmarkdown, testthat, microbenchmark,
dplyr, ggplot2",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"Rhdf5lib","Rhdf5lib","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.6.0",NA,NA,NA,NA,"BiocStyle, knitr, rmarkdown",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"Rhtslib","Rhtslib","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.16.1",NA,NA,"zlibbioc","zlibbioc","BiocStyle, knitr",NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"rio","rio","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.16",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.0), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, clipr, csvy,
feather, fst, hexView, jsonlite, readODS (>= 1.6.4), readr,
rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"rJava","rJava","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9-11",NA,"R (>= 2.5.0), methods",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"rjson","rjson","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.20",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"RJSONIO","RJSONIO","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3-1.2",NA,NA,"methods",NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"rlang","rlang","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.0",NA,"R (>= 3.2.0)",NA,NA,"covr, crayon, magrittr, methods, pillar, rmarkdown, testthat
(>= 2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"RMariaDB","RMariaDB","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.6",NA,"R (>= 2.8.0)","bit64, DBI (>= 1.0.0), hms, methods, Rcpp (>= 0.12.4)","BH, plogr, Rcpp","DBItest, rprojroot, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"rmarkdown","rmarkdown","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.13",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), base64enc, jsonlite, mime, tinytex
(>= 0.11), xfun, methods, stringr (>= 1.2.0)",NA,"shiny (>= 0.11), tufte, testthat, digest, dygraphs, tibble,
fs, callr (>= 2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"rms","rms","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","5.1-3.1",NA,"Hmisc (>= 4.1-1), survival (>= 2.40-1), lattice, ggplot2 (>=
2.2), SparseM","methods, quantreg, rpart, nlme (>= 3.1-123), polspline,
multcomp, htmlTable (>= 1.11.0), htmltools",NA,"boot, tcltk, plotly (>= 4.5.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"RMySQL","RMySQL","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.10.17",NA,"R (>= 2.8.0), DBI (>= 0.4)","methods",NA,"RMariaDB, testthat, curl",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"rncl","rncl","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8.3",NA,"R (>= 3.1.1)","Rcpp (>= 0.11.0), progress (>= 1.1.2), stats","Rcpp, progress","testthat, ape",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
